,buildingname,buildingaddress,buildingtype,greenmarkstatus,greenmarkrating,buildingsize,grossfloorarea,2017energyuseintensity,2018energyusintensity
651,REPUBLIC POLYTECHNIC,"9 WOODLANDS AVENUE 9, SINGAPORE 738964",Polytechnic,Yes,Platinum,Large,"213,343",150.0,145.0
658,NTUC HEALTH NURSING HOME (CHAI CHEE),"35 CHAI CHEE STREET, SINGAPORE 468984",Nursing Home,Yes,Platinum,Small,"12,900",52.0,87.0
659,ST. ANDREW'S NURSING HOME (HENDERSON),"303 HENDERSON ROAD, SINGAPORE 108925",Nursing Home,Yes,Certified,Small,"9,520",56.0,89.0
660,SULTAN-LINK,"57 MOHAMED SULTAN ROAD, SINGAPORE 238997",Office,Yes,Certified,Small,"2,853",141.0,134.0
661,SULTAN-LINK,"55 MOHAMED SULTAN ROAD, SINGAPORE 238995",Office,Yes,Certified,Small,757,116.0,108.0
662,SULTAN-LINK,"63 MOHAMED SULTAN ROAD, SINGAPORE 239002",Office,Yes,Certified,Small,"1,063",112.0,141.0
663,SULTAN-LINK,"61 MOHAMED SULTAN ROAD, SINGAPORE 239001",Office,Yes,Certified,Small,"2,601",142.0,145.0
664,SULTAN-LINK,"59 MOHAMED SULTAN ROAD, SINGAPORE 238999",Office,Yes,Certified,Small,"2,677",55.0,56.0
665,SULTAN-LINK,"53 MOHAMED SULTAN ROAD, SINGAPORE 238993",Office,Yes,Certified,Small,"2,181",240.0,272.0
670,ASSISI HOSPICE,"832 THOMSON ROAD, SINGAPORE 574627",Nursing Home,Yes,Platinum,Small,"13,319",125.0,127.0
678,RAFFLES HOLLAND V,"118 HOLLAND AVENUE, SINGAPORE 278997",Retail,Yes,Certified,Small,"6,011",455.0,491.0
680,VISION EXCHANGE,"2 VENTURE DRIVE, SINGAPORE 608526",Office,Yes,GoldPlus,Large,"64,562",66.0,92.0
681,JURONG TOWN HALL,"9 JURONG TOWN HALL ROAD, SINGAPORE 609431",Office,Yes,Platinum,Large,"26,248",68.0,77.0
682,THE JTC SUMMIT,"8 JURONG TOWN HALL ROAD, SINGAPORE 609434",Office,Yes,Platinum,Large,"56,527",142.0,141.0
683,CONNEXIS,"1 FUSIONOPOLIS WAY, SINGAPORE 138632",Office,Yes,Platinum,Large,"120,384",226.0,233.0
684,HELIOS,"11 BIOPOLIS WAY, SINGAPORE 138667",Office,Yes,GoldPlus,Large,"170,856",686.0,663.0
685,IBM PLACE,"9 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486048",Office,Yes,GoldPlus,Large,"16,262",102.0,95.0
686,CLEANTECH ONE,"1 CLEANTECH LOOP, SINGAPORE 637141",Office,Yes,Platinum,Large,"28,800",303.0,294.0
688,JTC CLEANTECH TWO @CLEANTECH PARK,"3 CLEANTECH LOOP, SINGAPORE 637143",Office,Yes,Platinum,Large,"22,485",157.0,170.0
689,IBM PLACE,"7 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486072",Office,Yes,GoldPlus,Large,"15,996",134.0,133.0
690,INNOVIS,"2 FUSIONOPOLIS WAY, SINGAPORE 138634",Office,Yes,Platinum,Large,"41,193",546.0,509.0
691,SYNTHESIS,"6 FUSIONOPOLIS WAY, SINGAPORE 138636",Office,Yes,Platinum,Large,"19,173",1040.0,1093.0
692,KINESIS,"4 FUSIONOPOLIS WAY, SINGAPORE 138635",Office,Yes,Platinum,Large,"33,123",287.0,298.0
694,SINGAPORE MARRIOTT TANG PLAZA HOTEL,"320 ORCHARD ROAD, SINGAPORE 238865",Hotel,Yes,Gold,Large,"76,504",252.0,258.0
696,DUO TOWER,"3 FRASER STREET, SINGAPORE 189352",Office,Yes,Platinum,Large,"71,715",134.0,269.0
706,VALLEY POINT,"491 RIVER VALLEY ROAD, SINGAPORE 248371",Office,Yes,Gold,Large,"27,291",456.0,424.0
712,ST. ANDREW'S NURSING HOME (QUEENSTOWN),"11 JALAN PENJARA, SINGAPORE 149380",Nursing Home,Yes,Certified,Small,"10,992",45.0,91.0
721,RENDEZVOUS HOTEL SINGAPORE,"9 BRAS BASAH ROAD, SINGAPORE 189559",Hotel,Yes,GoldPlus,Large,"19,720",291.0,308.0
727,YISHUN COMMUNITY HOSPITAL,"2 YISHUN CENTRAL 2, SINGAPORE 768024",General Hospital/ Specialist Centre (Public),Yes,Platinum,Large,"41,325",203.0,209.0
731,REVENUE HOUSE,"55 NEWTON ROAD, SINGAPORE 307987",Office,Yes,Platinum,Large,"86,492",166.0,165.0
732,INTERNATIONAL PLAZA,"10 ANSON ROAD, SINGAPORE 079903",Office,Yes,GoldPlus,Large,"107,758",172.0,163.0
746,BANK OF AMERICA MERRILL LYNCH HARBOURFRONT,"2 HARBOURFRONT PLACE, SINGAPORE 098499",Office,Yes,GoldPlus,Large,"22,722",386.0,401.0
748,COPTHORNE KING'S HOTEL,"403 HAVELOCK ROAD, SINGAPORE 169632",Hotel,Yes,Platinum,Large,"17,598",239.0,250.0
749,TONG ENG BUILDING,"101 CECIL STREET, SINGAPORE 069533",Office,Yes,Platinum,Large,"22,930",124.0,113.0
755,ASCOTT SINGAPORE RAFFLES PLACE,"2 FINLAYSON GREEN, SINGAPORE 049247",Hotel,Yes,Certified,Large,"16,105",206.0,210.0
757,MAPLETREE ANSON,"60 ANSON ROAD, SINGAPORE 079914",Office,Yes,Platinum,Large,"35,657",215.0,210.0
