,buildingname,buildingaddress,buildingtype,greenmarkstatus,greenmarkrating,buildingsize,grossfloorarea,2017energyuseintensity,2018energyusintensity
96,CHINATOWN POINT,"133 NEW BRIDGE ROAD, SINGAPORE 059413",Mixed Development,Yes,Certified,Large,"51,611",345.0,322.0
98,OUE DOWNTOWN,"6 SHENTON WAY, SINGAPORE 068809",Office,Yes,Certified,Large,"116,055",159.0,181.0
101,ORCHARD PLAZA,"150 ORCHARD ROAD, SINGAPORE 238841",Retail,Yes,GoldPlus,Large,"22,331",213.0,218.0
110,NGEE ANN POLYTECHNIC,"535 CLEMENTI ROAD, SINGAPORE 599489",Polytechnic,Yes,GoldPlus,Large,"382,189",86.0,82.0
112,INSTITUTE OF MENTAL HEALTH,"10 BUANGKOK VIEW, SINGAPORE 539747",Nursing Home,Yes,GoldPlus,Large,"171,698",82.0,71.0
114,TEMASEK POLYTECHNIC,"21 TAMPINES AVENUE 1, SINGAPORE 529757",Polytechnic,Yes,Platinum,Large,"2,865,168",17.0,105.0
116,SO SOFITEL SINGAPORE,"35 ROBINSON ROAD, SINGAPORE 068876",Hotel,Yes,Platinum,Large,"7,450",335.0,328.0
117,SINGAPORE MANAGEMENT UNIVERSITY,"50 STAMFORD ROAD, SINGAPORE 178899",Univerisity,Yes,Platinum,Large,"100,378",144.0,145.0
120,NATIONAL HEART CENTRE OF SINGAPORE,"5 HOSPITAL DRIVE, SINGAPORE 169609",Specialist Centre (Public),Yes,Platinum,Large,"48,432",300.0,306.0
123,THE TREASURY,"100 HIGH STREET, SINGAPORE 179434",Office,Yes,Platinum,Large,"41,499",142.0,134.0
133,KHOO TECK PUAT HOSPITAL,"90 YISHUN CENTRAL, SINGAPORE 768828",General Hospital/ Specialist Centre (Public),Yes,Platinum,Large,"103,534",311.0,311.0
141,VILLAGE HOTEL KATONG,"25 MARINE PARADE, SINGAPORE 449536",Hotel,Yes,Certified,Large,"22,540",207.0,211.0
148,NANYANG TECHNOLOGICAL UNIVERSITY,"50 NANYANG AVENUE, SINGAPORE 639798",Univerisity,Yes,Platinum,Large,"330,436",605.0,594.0
153,313 @ SOMERSET,"313 ORCHARD ROAD, SINGAPORE 238895",Retail,Yes,Platinum,Large,"39,913",515.0,513.0
158,OG ALBERT COMPLEX,"60 ALBERT STREET, SINGAPORE 189969",Mixed Development,Yes,Gold,Large,"25,724",188.0,181.0
162,TOKIO MARINE CENTRE,"20 MCCALLUM STREET, SINGAPORE 069046",Office,Yes,GoldPlus,Small,"14,671",157.0,160.0
164,HIGH STREET CENTRE,"1 NORTH BRIDGE ROAD, SINGAPORE 179094",Office,Yes,Platinum,Large,"43,000",174.0,165.0
166,WEST MALL,"1 BUKIT BATOK CENTRAL LINK, SINGAPORE 658713",Retail,Yes,Gold,Large,"24,182",472.0,483.0
169,GERMAN CENTRE,"25 INTERNATIONAL BUSINESS PARK, SINGAPORE 609916",Office,Yes,Platinum,Large,"28,421",113.0,111.0
172,MITSUBISHI ELECTRIC BUILDING,"307 ALEXANDRA ROAD, SINGAPORE 159943",Office,Yes,Platinum,Large,"16,654",94.0,95.0
179,ENVIRONMENT BUILDING,"40 SCOTTS ROAD, SINGAPORE 228231",Office,Yes,Platinum,Large,"49,021",134.0,122.0
182,MANDARIN ORCHARD SINGAPORE,"333 ORCHARD ROAD, SINGAPORE 238867",Hotel,Yes,Certified,Large,"127,860",220.0,217.0
184,ORCHARD TOWERS,"400 ORCHARD ROAD, SINGAPORE 238875",Mixed Development,Yes,Certified,Large,"42,809",174.0,173.0
187,STUDIO M HOTEL,"3 NANSON ROAD, SINGAPORE 238910",Hotel,Yes,Gold,Large,"8,210",434.0,429.0
190,BCA ACADEMY OF THE BUILT ENVIRONMENT,"200 BRADDELL ROAD, SINGAPORE 579700",Office,Yes,Platinum,Large,"53,422",43.0,41.0
191,MARINA BAY SANDS,"1 BAYFRONT AVENUE, SINGAPORE 018971",Mixed Development,Yes,Platinum,Large,"581,511",301.0,297.0
195,SINGAPORE SHOPPING CENTRE,"190 CLEMENCEAU AVENUE, SINGAPORE 239924",Retail,Yes,Gold,Small,"11,256",171.0,184.0
196,PALAIS RENAISSANCE,"390 ORCHARD ROAD, SINGAPORE 238871",Mixed Development,Yes,Platinum,Large,"16,491",201.0,184.0
201,IBIS SINGAPORE NOVENA,"6 IRRAWADDY ROAD, SINGAPORE 329543",Hotel,Yes,Platinum,Small,"6,407",335.0,276.0
205,MAPLETREE BUSINESS CITY,"10 PASIR PANJANG ROAD, SINGAPORE 117438",Office,Yes,Platinum,Large,"184,167",232.0,249.0
219,SHERATON TOWERS HOTEL,"39 SCOTTS ROAD, SINGAPORE 228230",Hotel,Yes,Platinum,Large,"31,224",250.0,249.0
227,AXA TOWER,"8 SHENTON WAY, SINGAPORE 068811",Office,Yes,Platinum,Large,"95,625",156.0,151.0
236,RELC BUILDING,"30 ORANGE GROVE ROAD, SINGAPORE 258352",Hotel,Yes,GoldPlus,Large,"21,466",94.0,101.0
241,WINSLAND HOUSE II,"163 PENANG ROAD, SINGAPORE 238463",Office,Yes,GoldPlus,Large,"18,451",168.0,159.0
242,WINSLAND HOUSE I,"3 KILLINEY ROAD, SINGAPORE 239519",Office,Yes,GoldPlus,Large,"21,055",152.0,140.0
253,ORCHARD PARADE HOTEL,"1 TANGLIN ROAD, SINGAPORE 247905",Hotel,Yes,Gold,Large,"26,657",247.0,238.0
268,THE URA CENTRE,"45 MAXWELL ROAD, SINGAPORE 069118",Office,Yes,Platinum,Large,"54,055",152.0,146.0
277,KING'S CENTRE,"390 HAVELOCK ROAD, SINGAPORE 169662",Office,Yes,Platinum,Small,"10,852",219.0,205.0
278,QUAYSIDE ISLE,"31 OCEAN WAY, SINGAPORE 098375",Retail,Yes,Platinum,Small,"5,729",595.0,603.0
279,NOVOTEL SINGAPORE CLARKE QUAY,"177A RIVER VALLEY ROAD, SINGAPORE 179031",Hotel,Yes,GoldPlus,Large,"28,548",245.0,240.0
282,FORTUNE CENTRE,"190 MIDDLE ROAD, SINGAPORE 188979",Office,Yes,Gold,Large,"25,021",189.0,190.0
294,CONCORDE SHOPPING CENTRE,"317 OUTRAM ROAD, SINGAPORE 169075",Hotel,Yes,GoldPlus,Large,"54,042",267.0,216.0
301,THE SIGNATURE,"51 CHANGI BUSINESS PARK CENTRAL 2, SINGAPORE 486066",Office,Yes,Gold,Large,"47,410",132.0,132.0
304,SOLARIS,"1 FUSIONOPOLIS WALK, SINGAPORE 138628",Office,Yes,Platinum,Large,"51,282",127.0,132.0
331,THE GREENWICH,"1 SELETAR ROAD, SINGAPORE 807011",Retail,Yes,Certified,Small,"4,500",348.0,388.0
333,ITE COLLEGE CENTRAL,"2 ANG MO KIO DRIVE, SINGAPORE 567720",ITE,Yes,Platinum,Large,"192,820",104.0,102.0
334,ITE COLLEGE EAST,"10 SIMEI AVENUE, SINGAPORE 486047",ITE,Yes,Platinum,Large,"130,424",103.0,100.0
362,FURAMA CITY CENTRE SINGAPORE,"60 EU TONG SEN STREET, SINGAPORE 059804",Hotel,Yes,Platinum,Large,"25,857",235.0,232.0
363,OUE BAYFRONT,"50 COLLYER QUAY, SINGAPORE 049321",Office,Yes,Gold,Large,"40,450",298.0,289.0
375,SAMSUNG HUB,"3 CHURCH STREET, SINGAPORE 049483",Office,Yes,GoldPlus,Large,"27,562",178.0,181.0
378,ION ORCHARD,"2 ORCHARD TURN, SINGAPORE 238801",Retail,Yes,Gold,Large,"87,486",485.0,471.0
379,ST. REGIS HOTEL SINGAPORE,"29 TANGLIN ROAD, SINGAPORE 247911",Hotel,Yes,GoldPlus,Large,"30,850",415.0,385.0
380,NGEE ANN CITY,"391A ORCHARD ROAD, SINGAPORE 238873",Mixed Development,Yes,Platinum,Large,"175,179",319.0,264.0
386,HOLIDAY INN EXPRESS SINGAPORE CLARKE QUAY,"2 MAGAZINE ROAD, SINGAPORE 059573",Hotel,Yes,Platinum,Large,"11,783",264.0,263.0
390,CITY HOUSE,"36 ROBINSON ROAD, SINGAPORE 068877",Office,Yes,Platinum,Large,"20,180",134.0,114.0
391,SHANGRI-LA HOTEL,"22 ORANGE GROVE ROAD, SINGAPORE 258350",Hotel,Yes,Gold,Large,"79,709",333.0,365.0
392,ITE COLLEGE WEST,"1 CHOA CHU KANG GROVE, SINGAPORE 688236",ITE,Yes,Platinum,Large,"97,876",113.0,113.0
393,OCBC CENTRE,"65 CHULIA STREET, SINGAPORE 049513",Office,Yes,Gold,Large,"75,079",200.0,199.0
395,OCBC CENTRE SOUTH,"18 CHURCH STREET, SINGAPORE 049479",Office,Yes,Gold,Small,"11,047",384.0,397.0
397,TAMPINES POLYCLINIC,"1 TAMPINES STREET 41, SINGAPORE 529203",Polyclinic,Yes,Gold,Small,"5,923",131.0,133.0
402,DAS SPEKTRUM@CBP,"9 CHANGI BUSINESS PARK VISTA, SINGAPORE 486041",Office,Yes,Platinum,Small,"12,767",158.0,161.0
404,INFINITE STUDIOS,"21 MEDIA CIRCLE, SINGAPORE 138562",Office,Yes,GoldPlus,Large,"20,484",334.0,328.0
407,MACPHERSON MALL,"401 MACPHERSON ROAD, SINGAPORE 368125",Mixed Development,Yes,Certified,Small,"13,284",193.0,227.0
411,TAN TOCK SENG HOSPITAL,"11 JALAN TAN TOCK SENG, SINGAPORE 308433",General Hospital/ Specialist Centre (Public),Yes,Platinum,Large,"191,832",377.0,358.0
413,THE METROPOLIS,"9 NORTH BUONA VISTA DRIVE, SINGAPORE 138588",Office,Yes,Platinum,Large,"100,096",211.0,207.0
414,STANDARD CHARTERED @ CHANGI 2,"9 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486005",Office,Yes,Gold,Large,"18,365",120.0,125.0
415,STANDARD CHARTERED @ CHANGI,"7 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486028",Office,Yes,Platinum,Large,"27,076",195.0,191.0
424,MYP CENTRE,"9 BATTERY ROAD, SINGAPORE 049910",Office,Yes,Gold,Large,"18,565",201.0,194.0
428,ANG MO KIO COMMUNITY HOSPITAL,"17 ANG MO KIO AVENUE 9, SINGAPORE 569766",Community Hospital,Yes,Gold,Large,"28,151",196.0,195.0
429,THE PLAZA,"7500A BEACH ROAD, SINGAPORE 199591",Mixed Development,Yes,Gold,Large,"72,925",244.0,247.0
431,KATONG POINT,"451 JOO CHIAT ROAD, SINGAPORE 427664",Retail,Yes,Certified,Small,"4,247",144.0,131.0
432,SEAGATE SINGAPORE DESIGN CENTER - THE SHUGART,"26 AYER RAJAH CRESCENT, SINGAPORE 139944",Office,Yes,Platinum,Large,"40,880",473.0,527.0
434,MIWORLD,"9 INTERNATIONAL BUSINESS PARK, SINGAPORE 609915",Office,Yes,Certified,Small,"10,960",703.0,744.0
443,HOTEL CHANCELLOR @ ORCHARD,"28 CAVENAGH ROAD, SINGAPORE 229635",Hotel,Yes,Certified,Large,"13,742",279.0,275.0
444,PARKROYAL ON PICKERING,"3 UPPER PICKERING STREET, SINGAPORE 058289",Hotel,Yes,Platinum,Large,"29,227",302.0,309.0
445,TAMAN JURONG SHOPPING CENTRE,"399 YUNG SHENG ROAD, SINGAPORE 610399",Retail,Yes,Gold,Small,"11,820",402.0,404.0
447,HEALTH PROMOTION BOARD,"3 SECOND HOSPITAL AVENUE, SINGAPORE 168937",Office,Yes,Platinum,Large,"32,148",169.0,164.0
448,WESTGATE TOWER,"1 GATEWAY DRIVE, SINGAPORE 608531",Retail,Yes,Platinum,Large,"87,780",352.0,353.0
453,WOH HUP BUILDING,"217 UPPER BUKIT TIMAH ROAD, SINGAPORE 588185",Office,Yes,Platinum,Small,"1,980",159.0,147.0
459,NEXUS @ONE-NORTH,"3 FUSIONOPOLIS LINK, SINGAPORE 138543",Office,Yes,Platinum,Large,"25,510",25.0,25.0
460,THE MENDEL,"12 SCIENCE PARK DRIVE, SINGAPORE 118225",Office,Yes,GoldPlus,Large,"75,269",246.0,256.0
464,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,"8 SOMAPAH ROAD, SINGAPORE 487372",Univerisity,Yes,Platinum,Large,"109,703",164.0,177.0
465,MAS BUILDING,"10 SHENTON WAY, SINGAPORE 079117",Office,Yes,Platinum,Large,"55,206",139.0,130.0
475,HEALTH SCIENCES AUTHORITY BUILDING,"11 OUTRAM ROAD, SINGAPORE 169078",Office,Yes,GoldPlus,Large,"17,284",448.0,448.0
